Invented_city;Real_city
MOUNTMEND;Nueva York
EANVERNESS;Los Ángeles
DONCASTER;Chicago
HORNSEY;Houston
GOULCREST;Filadelfia
PITMERDEN;Phoenix
LARNWICK;San Antonio
HARDERSFIELD;San Diego
PAENTMARWY;Dallas
DRY GULCH;San José
ARBINGTON;Jacksonville
WANBORNE;Indianápolis
BALLYMENA;San Francisco
IRRAGIN;Austin
GARIGILL;Columbus
PEMBROKE;Fort Worth
SOLARIS;Charlotte
PORTHCRAWL;Detroit
CESTERFIELD;El Paso
BALERNO;Memphis
STANMORE;Baltimore
AETHELNEY;Boston
CLARCTON;Seattle
GUTHRAM;Washington
CULCHETH;Nashville
WINTERVALE;Denver
BEGGAR'S HOLE;Louisville
ASHBORNE;Milwaukee
CAERSHIRE;Portland
BLACK HOLLOW;Las Vegas
BROMWICH;Oklahoma City
CLAETHORPES;Albuquerque
BLACKPOOL;Tucson
TAMWORTH;Fresno
SHARNWICK;Sacramento
ALNERWICK;Long Beach
CARDEND;Kansas City (Misuri)
NORFOLK;Mesa
EASTHALLOW;Virginia Beach
BREDWARDINE;Atlanta
BARNCOMBE;Colorado Springs
KELD;Omaha
PELLA'S WISH;Raleigh
KILMARNOCK;Miami
ABERDEEN;Cleveland
HILLFAR;Tulsa
PAETHSMOUTH;Oakland
LEESIDE;Mineápolis
SWORDBREAK;Wichita
BULLMAR;Arlington
GRAYCOTT;Bakersfield
EASTHAVEN;Nueva Orleans
HARTLEPOOL;Honolulú
HALIVAARA;Anaheim
PALPERROTH;Tampa
OLDHAM;Aurora
LANTEGLOS;Santa Ana
WOLFORD;San Luis
FURNESS;Pittsburgh
SUTTON;Corpus Christi
TARMSWORTH;Riverside
LEWES;Cincinnati
LUTON;Lexington
KNIFE'S EDGE;Anchorage
AYLESBURY;Stockton
VERITAS;Toledo
LUNDY;St Paul
TYWARDREATH;Newark
